timestamp,symbol,open,high,low,close,volume,sma_7,sma_25,sma_99,ema_12,ema_26,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_width,bb_position,tr,atr,atr_percent,volume_sma,volume_ratio,price_change,price_range,gap,resistance_20,support_20,distance_to_resistance,distance_to_support,volatility,momentum_1d,momentum_5d,momentum_20d,target_return,target_direction,target_price
2023-06-09,BNB,261.9,264.4,255.7,260.5,509660.501,278.7857142857143,300.628,312.86767676767676,284.33856022105044,296.689580614776,20.8805031446541,-12.351020393725548,-7.34340992394437,-5.007610469781178,298.06,335.30809567721417,260.81190432278584,0.24993689644510614,-0.0041868492484655705,8.699999999999989,10.01428571428571,3.84425555250891,407344.7083,1.2511774195545626,-0.005725190839694694,0.033397312859884794,-0.0003816793893130639,317.3,253.4,0.21804222648752403,0.027255278310940476,0.5467042166986279,-0.005725190839694694,-0.14590163934426226,-0.16130070830650356,0.014018691588784993,1,238.7
2023-06-10,BNB,260.6,260.7,228.4,238.7,1603602.202,269.0857142857143,297.72,312.3454545454545,277.3172428737077,292.3921025136501,15.888778550148999,-15.074859639942417,-8.889699867458964,-6.185159772483454,294.675,340.13206476271927,249.21793523728076,0.30852338856515993,-0.11569087546878798,32.29999999999998,12.057142857142853,5.051170028128552,480365.69695000007,3.3382945788631417,-0.08368522072936668,0.13531629660661912,0.0003838771593091084,317.3,228.4,0.32928361960620034,0.043150397989107594,0.6345653963582384,-0.08368522072936668,-0.13795594077284212,-0.22095300261096606,0.017725897103328947,1,235.4
2023-06-11,BNB,238.8,239.3,233.4,235.4,402562.359,259.14285714285717,294.564,311.7979797979798,270.86843597445994,288.16868756595477,9.558067831449122,-17.300251591494828,-10.571810212540258,-6.728441378954569,290.995,343.01242521805295,238.97757478194706,0.3575142199560333,-0.034388234009566386,5.900000000000006,11.91428571428571,5.061293846340574,489389.69315,0.82258037844825,-0.013824884792626668,0.025063721325403594,0.00041893590280696585,317.3,228.4,0.34791843670348344,0.02973661852166525,0.6279487936950272,-0.013824884792626668,-0.16287339971550496,-0.23818770226537211,-0.05282555282555268,0,231.3
2023-06-12,BNB,235.4,239.3,220.4,231.3,1579141.84,252.6285714285714,291.444,311.2181818181818,264.7809840438294,283.9545497652219,9.40343781597575,-19.173565721392492,-12.292161314534988,-6.881404406857504,286.88500000000005,344.14118422126023,229.62881577873986,0.39915774070627724,0.014593918927622226,18.900000000000006,12.771428571428563,5.521586066333144,557055.27565,2.8348027727721963,-0.017417162276975318,0.08171206225680935,0.0,317.3,220.4,0.37181150021616943,0.0471249459576308,0.6157524436339811,-0.017417162276975318,-0.10798303123794828,-0.262200956937799,0.02648171500630503,1,244.2
2023-06-13,BNB,231.3,247.0,228.7,244.2,1230681.021,247.34285714285713,288.856,310.77777777777777,261.6146786996983,281.00870522832577,19.874664279319603,-19.394026528627478,-13.712534357501626,-5.681492171125852,283.795,343.3326033320644,224.2573966679356,0.4195817638229314,0.16747905706614283,18.30000000000001,13.83571428571428,5.665730665730663,603954.6956999999,2.037704201593477,0.05577172503242522,0.07493857493857499,0.0,317.3,220.4,0.29934479934479946,0.09746109746109739,0.6829551053257932,0.05577172503242522,-0.06793893129771,-0.20196078431372555,0.006345177664974555,1,237.9
2023-06-14,BNB,244.1,252.8,232.9,237.9,970411.718,244.28571428571428,285.948,310.2585858585859,257.9662664881,277.8144004566469,19.59399823477493,-19.848133968546904,-14.93965427981307,-4.908479688733834,280.46500000000003,342.52325022551446,218.4067497744856,0.442538286242593,0.15705607356538076,19.900000000000006,14.76428571428571,6.206088992974237,638109.1565,1.5207613119402086,-0.025798525798525707,0.08364859184531317,-0.0004095004095003862,317.3,220.4,0.3337536780159731,0.0735603194619588,0.6854433619639565,-0.025798525798525707,-0.0867562380038388,-0.21871921182266008,-0.012118679481821992,0,236.4
2023-06-15,BNB,237.9,240.8,230.6,236.4,602141.969,240.6285714285714,283.148,309.74646464646463,254.64837925609356,274.74571767102947,19.66341895482728,-20.097338414935905,-15.971191106906492,-4.126147308029413,276.94500000000005,340.67751586864665,213.21248413135345,0.4602539556131838,0.1819127611126813,10.200000000000017,15.164285714285715,6.41467246797196,648286.8102,0.9288203300237375,-0.006305170239596425,0.043147208121827485,0.0,317.3,220.4,0.34221658206429784,0.0676818950930626,0.6805309737782066,-0.006305170239596425,-0.00963552576455795,-0.22946544980443284,-0.02126789366053161,0,239.3
2023-06-16,BNB,236.5,243.8,232.2,239.3,562586.529,237.6,280.36,309.36464646464646,252.28709009160127,272.1193565761948,20.088105726872243,-19.832266484593504,-16.743406182485128,-3.088860302108376,273.53999999999996,337.6968275892418,209.38317241075808,0.4690855274493082,0.23315388800691364,11.600000000000023,15.61428571428572,6.52498358306967,669179.03235,0.8407115312987735,0.012267343485617532,0.04847471792728802,0.00042301184433161726,317.3,220.4,0.325950689511074,0.07898035938152947,0.6860907992236949,0.012267343485617532,0.01656754460492782,-0.22153545868575142,0.0016386726751331793,1,244.5
2023-06-17,BNB,239.4,249.8,237.2,244.5,491313.272,238.42857142857142,277.6,309.0323232323232,251.0890762106754,270.072935494637,23.70872142252327,-18.983859283961635,-17.191496802799573,-1.792362481162062,270.06,332.48042175948103,207.63957824051897,0.46227076767741265,0.2952593135425451,12.600000000000023,16.14285714285715,6.602395559450777,680883.037,0.7215824823081912,0.0217300459674048,0.051533742331288435,0.000417885499373148,317.3,220.4,0.2977505112474438,0.0985685071574642,0.6860290722169136,0.0217300459674048,0.05706874189364464,-0.22158548233046804,0.004113533525298196,1,244.1
2023-06-18,BNB,244.5,248.7,242.3,244.1,359878.981,239.67142857142858,275.124,308.710101010101,250.01383370102042,268.1485417091938,23.95209580838322,-18.13470800817339,-17.380139043880785,-0.7545689642926057,266.685,326.9091523503295,206.46084764967048,0.45165009168366815,0.3124921720058345,6.399999999999977,16.378571428571433,6.7097793644290995,675802.7303,0.5325207562275515,-0.0016359918200409274,0.02621876280213018,0.0,314.2,220.4,0.28717738631708317,0.09709135600163862,0.6872420821377903,-0.0016359918200409274,-0.00040950040950038513,-0.21662387676508355,-0.018570851836899438,0,243.1
2023-06-19,BNB,244.1,245.0,238.3,243.1,425074.269,241.35714285714286,272.668,308.25555555555553,248.95016696464083,266.29267213081573,31.180400890868597,-17.342505166174902,-17.372612268339402,0.030107102164500077,263.265,320.4662982922214,206.06370170777856,0.4345530039482758,0.3237365182081703,6.699999999999989,14.492857142857146,5.961685373450081,682491.21425,0.6228274593499648,-0.004096681687832837,0.027560674619498102,0.0,311.9,220.4,0.28301110654051825,0.09337721102426981,0.6862511794329014,-0.004096681687832837,0.021857923497267784,-0.21958266452648478,-0.004421221864951863,0,247.7
