timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore,symbol,sma_7,sma_25,ema_12,ema_26,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_position,tr,atr,atr_percent,volume_sma,volume_ratio,price_change,price_range,volatility,resistance_20,support_20,dist_to_resistance,dist_to_support,momentum_1d,momentum_5d,momentum_20d,target_return,target_direction
2022-02-13,0.8223,0.8476,0.792,0.8057,351589704.0,1644796799999,288439676.8539,411195,169831806.0,139336595.4066,0,XRP,0.8271142857142858,0.6847719999999999,0.7654537841458955,0.7254378226588741,69.3707354056103,0.040015961487021356,0.029584416013167424,0.010431545473853932,0.6962949999999999,0.9022991131423809,0.4902908868576189,0.7655408145282617,0.05559999999999998,0.06572857142857139,8.15794606287345,359924177.6,0.9768438073386042,-0.02018727958166122,0.06900831575027924,1.1837813310759517,0.9168,0.5803,0.13789251582474865,0.2797567332754126,-0.02018727958166122,-0.08056601620449622,0.31693363844393585,-0.059072225484439245,0
2022-02-14,0.8057,0.8127,0.7791,0.8012,304006647.0,1644883199999,241701354.4564,298362,151755059.0,120697998.6505,0,XRP,0.8228,0.6880240000000001,0.7710255920044501,0.7319272127865564,67.81007751937986,0.03909837921789372,0.03149297692552583,0.007605402292367891,0.7054549999999999,0.913086196063952,0.49782380393604786,0.7305650639572241,0.03359999999999996,0.0649928571428571,8.111939234006128,359143588.5,0.8464766091738263,-0.005585205411443361,0.04193709435846226,1.1870644793519105,0.9168,0.5803,0.14428357463804284,0.2757114328507239,-0.005585205411443361,-0.07876279176727607,0.2964401294498382,0.017810184078412616,1
2022-02-15,0.8012,0.8599,0.7961,0.8515,279317316.0,1644969599999,231323680.2361,292838,145139011.0,120212814.2036,0,XRP,0.8192571428571428,0.6966119999999999,0.7835438887877555,0.7420519384799839,70.08824059067172,0.04149195030777164,0.033497618527959495,0.007994331779812146,0.7170650000000001,0.9303039346792885,0.5038260653207116,0.8152215147815063,0.06379999999999997,0.06811428571428567,7.999328915359444,349766218.8,0.798582884757423,0.06278082875686475,0.07492660011743978,1.202823924034798,0.9168,0.5803,0.07668819729888422,0.31849677040516733,0.06278082875686475,0.031746031746031855,0.3749394477636041,0.08790637191157336,1
2022-02-16,0.8514,0.8532,0.8086,0.8366,252745706.0,1645055999999,210175363.6046,272890,121239086.0,100858526.5729,0,XRP,0.8145285714285715,0.7062120000000001,0.7917830086080138,0.7499737446164041,71.7551622418879,0.04180926399160967,0.03516316926435209,0.006646094727257579,0.728455,0.9416804401233337,0.5152295598766662,0.7535930983128628,0.04459999999999997,0.06873571428571425,8.216078685837228,347776308.8,0.7267479112424233,-0.017498532002348854,0.053311020798469964,1.2031280676870757,0.9168,0.5803,0.09586421228783162,0.30635907243605065,-0.017498532002348854,0.10209458569358443,0.37417871222076204,-0.01913265306122447,0
2022-02-17,0.8367,0.8448,0.7535,0.769,375190546.0,1645142399999,300624314.1474,377795,180001437.0,144223727.5401,0,XRP,0.8064857142857144,0.71184,0.788250122970373,0.7515525456670433,63.22451698867422,0.036697577303329676,0.035470526484408946,0.0012270508189207302,0.73635,0.9428671077404329,0.529832892259567,0.5790491411516309,0.09130000000000005,0.07361428571428567,9.572728961545602,355485353.45,1.0554317986908892,-0.08080325125508003,0.11872561768530565,1.2741929866502193,0.9168,0.5803,0.19219765929778923,0.24538361508452533,-0.08080325125508003,-0.0648181928736471,0.25838651611847485,-0.045648204503956125,0
2022-02-18,0.7689,0.8055,0.756,0.784,417945743.0,1645228799999,326120877.6789,423084,201924098.0,157513266.3368,0,XRP,0.8100428571428572,0.718728,0.7875918739010991,0.7542212716747724,61.26995263988774,0.03337060222632671,0.03505002107230612,-0.0016794188459794135,0.74468,0.9443206729997407,0.5450393270002594,0.5984769270940373,0.04949999999999999,0.07325714285714281,9.344023323615154,368654035.9,1.1337072222189661,0.01950585175552666,0.0631377551020408,1.2743497085168876,0.9168,0.5803,0.1693877551020407,0.25982142857142854,0.01950585175552666,-0.026933101650738367,0.26984126984127,0.05740764577165658,1
2022-02-19,0.7841,0.8547,0.7696,0.8215,492929500.0,1645315199999,400613754.2186,594162,248825500.0,202360377.2972,0,XRP,0.8099285714285713,0.7268680000000001,0.7928380734295215,0.7597099254094583,63.046025104602506,0.03312814802006325,0.034665265418314016,-0.0015371173982507633,0.7556900000000001,0.9461116805436096,0.5652683194563906,0.6728007016116224,0.08510000000000006,0.07669999999999998,9.336579427875833,385975956.85,1.277098977933397,0.04783163265306123,0.10359099208764463,1.2687918215387561,0.9168,0.5803,0.11600730371272056,0.2936092513694461,0.04783163265306123,0.025336994508237565,0.36620655246964917,0.10701054431461965,1
2022-02-20,0.8215,0.8234,0.7643,0.7769,495454770.0,1645401599999,391269443.4318,521656,227536480.0,179659457.3597,0,XRP,0.8058142857142857,0.733172,0.7903743137796081,0.761101856893137,57.54958413307742,0.029272456886471065,0.03358584850976291,-0.0043133916232918415,0.763665,0.9427214189240213,0.5846085810759788,0.5369576250869174,0.05910000000000004,0.07884285714285712,10.148391960723016,400061229.9,1.2384473499815134,-0.05429093122337181,0.07607156648217278,1.3044187673587486,0.9168,0.5886,0.18007465568284195,0.24237353584759946,-0.05429093122337181,-0.08761009982384027,0.2583414318108197,-0.026494659453460967,0
2022-02-21,0.7769,0.802,0.6953,0.7018,621650777.0,1645487999999,474629850.5165,558755,303954516.0,232169573.5726,0,XRP,0.7916142857142858,0.736892,0.7766922912916054,0.7563329096009113,38.2480957562568,0.020359381690694178,0.03093887742870932,-0.010579495738015143,0.767335,0.9375064216219691,0.5971635783780309,0.30744416607864944,0.10670000000000002,0.07447857142857142,10.612506615641411,422428737.75,1.4716109995525513,-0.09666623761101822,0.15203761755485895,1.3864949347502922,0.9168,0.5886,0.3063550869193502,0.1612995155314904,-0.09666623761101822,-0.16112837676308878,0.11680458306810948,0.03473518013492183,1
2022-02-22,0.7018,0.7266,0.6686,0.7209,597541290.0,1645574399999,417027236.6289,503146,299122368.0,208862896.9036,0,XRP,0.7729571428571428,0.7412839999999999,0.7680794567105028,0.7535014228111538,35.21689497716896,0.014578033899348974,0.027665048694453246,-0.013087014795104272,0.77335,0.9263440005703693,0.6203559994296307,0.3285880498435763,0.05800000000000005,0.07070714285714284,9.808176287577036,442975364.15,1.348926686129798,0.02721573097748653,0.08045498682202809,1.3683341931550592,0.9168,0.5886,0.27174365376612564,0.1835205992509363,0.02721573097748653,-0.06254876462938885,0.20029970029970023,0.0005744650294412512,1
