timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore,symbol
2022-02-14,42053.65,42842.4,41550.56,42535.94,34010.1306,1644883199999,1436927831.44458620,867622,16912.76672000,714598651.16597500,0,BTC
2022-02-15,42535.94,44751.4,42427.03,44544.86,38095.19576,1644969599999,1672855933.62565900,990694,19180.32434000,842363401.21284530,0,BTC
2022-02-16,44544.85,44549.97,43307.0,43873.56,28471.8727,1645055999999,1250973502.30184530,823745,14106.69537000,619773473.01658720,0,BTC
2022-02-17,43873.56,44164.71,40073.21,40515.7,47245.99494,1645142399999,1993400162.94806680,1067658,21468.60602000,906038209.78185840,0,BTC
2022-02-18,40515.71,40959.88,39450.0,39974.44,43845.92241,1645228799999,1765622365.95275610,1025882,20609.06764000,829953072.41395250,0,BTC
2022-02-19,39974.45,40444.32,39639.03,40079.17,18042.0551,1645315199999,721960636.06466920,586653,8374.97500000,335209843.63180300,0,BTC
2022-02-20,40079.17,40125.44,38000.0,38386.89,33439.29011,1645401599999,1293216601.45187960,811235,15338.25392000,592897166.44915830,0,BTC
2022-02-21,38386.89,39494.35,36800.0,37008.16,62347.68496,1645487999999,2382027320.86176070,1352290,30617.13558000,1170272316.27587730,0,BTC
2022-02-22,37008.16,38429.0,36350.0,38230.33,53785.94589,1645574399999,2010628230.75491760,1212527,27322.73575000,1021948126.92530640,0,BTC
2022-02-23,38230.33,39249.93,37036.79,37250.01,43560.732,1645660799999,1665486687.23993710,1030872,21449.95580000,820639942.03183170,0,BTC
2022-02-24,37250.02,39843.0,34322.28,38327.21,120476.29458,1645747199999,4335107392.00948810,2622780,60103.13140000,2164376869.72610720,0,BTC
2022-02-25,38328.68,39683.53,38014.37,39219.17,56574.57125,1645833599999,2197889580.28266900,1408558,29904.01589000,1161436657.82962850,0,BTC
2022-02-26,39219.16,40348.45,38573.18,39116.72,29361.2568,1645919999999,1152621719.69438010,924257,14658.93596000,575852237.98081680,0,BTC
2022-02-27,39116.73,39855.7,37000.0,37699.07,46229.44719,1646006399999,1780512702.88640200,1265753,21789.25080000,840141690.32935450,0,BTC
2022-02-28,37699.08,44225.84,37450.17,43160.0,73945.63858,1646092799999,2975160226.16898520,1931087,38543.78078000,1553136662.00345820,0,BTC
2022-03-01,43160.0,44949.0,42809.98,44421.2,61743.09873,1646179199999,2701611023.69431990,1866871,30937.54085000,1353520463.00847440,0,BTC
2022-03-02,44421.2,45400.0,43334.09,43892.98,57782.65081,1646265599999,2550792948.28862420,1653131,28624.11310000,1264172354.04562620,0,BTC
2022-03-03,43892.99,44101.12,41832.28,42454.0,50940.61021,1646351999999,2192152097.92518790,1289320,24438.40113000,1051969942.21123210,0,BTC
2022-03-04,42454.0,42527.3,38550.0,39148.66,61964.68498,1646438399999,2527001270.71946910,1465066,29322.62323000,1196441375.29618270,0,BTC
2022-03-05,39148.65,39613.24,38407.59,39397.96,30363.13341,1646524799999,1187689935.08799350,879727,14846.61434000,580820200.94256520,0,BTC
2022-03-06,39397.97,39693.87,38088.57,38420.81,39677.26158,1646611199999,1542258009.62921880,986352,19055.16367000,740741244.89651720,0,BTC
2022-03-07,38420.8,39547.57,37155.0,37988.0,63994.11559,1646697599999,2449362161.70153860,1456041,31641.49735000,1211103666.76717830,0,BTC
2022-03-08,37988.01,39362.08,37867.65,38730.63,55583.06638,1646783999999,2149652714.80434550,1271128,27964.07361000,1081516303.59409020,0,BTC
2022-03-09,38730.63,42594.06,38656.45,41941.71,67392.58799,1646870399999,2797240840.96074690,1570230,34598.34753000,1435303843.98738530,0,BTC
2022-03-10,41941.7,42039.63,38539.73,39422.0,71962.93154,1646956799999,2854310740.80767330,1512655,33804.27456000,1340241708.00120280,0,BTC
